149;14;Monero (XMR);XMR;1043;0;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011100010101101111010000000000101110111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
150;229;Ria USD;USD Ria;840;4;1000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
151;230;Ria EUR;EUR Ria;978;4;1000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
152;104;PaySera USD;USD PaySera;840;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000101000000000010000001000000000000000000000000000000000000000000000000000000010100000000000000000000010100000000000000000010000100000000000000000000000
153;118;Криптобиржи EUR;EUR Trade;978;1;1000100100011001100000000000000001001110100000001101110000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
154;110;Epay USD;USD Epay;840;1;0000000000111110100010000000100010101111000100010000000000000000000000000010000100000111000101000000000110000001000000000000000100000000100000000000000000000000000010110100000000000000000000011100000010100000000010000100000000000000000000000
155;171;Visa/MasterCard SEK;SEK Карта;752;3;1000100100011011000110011000010000101110000010000000111101010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
156;78;PM e-Voucher USD;USD PMV;840;1;1111111111111111111111111111111011111111111111101111111111111111111111100011111111011111111111111011100010000001011000000010000101110110111111111111111111111111111111111101111111111101111111111111111111110111011010111100000000000011110111101
157;143;Райффайзен RUB;RUB РФБ;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000100000011000000000000101000100100010101110100111111111111111111101110001000001011101111101100000000000000000010000000000000000000000000
158;153;Райффайзен UAH;UAH РФБ;980;3;1011110111111111111111111111111011101111101111011011111111111111111111100011111101010111111111110011100000111000001000000010001101000100100000001000000111111101111101110100000000000000000100000010000000100000000000000000000000000000000000000
